QID	TITLE	BODY	CATEGORY	PUBLISHEDDATE
YA:20160516235807AARDlp4	Oral sex and uti?	"So I got a uti, and I am currently treating it, I'm on the third day and I feel better. And I was wondering if it would be okay for her to eat me out? /n/nMy uti case was mild. It just felt like I had a full bladder when I was near peeing."	Women's Health	1463468287000
YA:20160516235946AAAyt0l	Does my school starts to early?	Everyschoolday except tuesday and wednesday my schoolday starts at 8:15 am which means i that i wake up at 07:00 am and  leave my house around 07:30 am i live in the netherlands and everything here is about bikes so when i go to school it takes like 30 minutes to cycle but anyways does my school strats to early	Men's Health	1463468386000
YA:20160517000456AAgMKIv	Shopping cart/car hit my car in parking lot and caused a dent and small paint scratches?	"I work at walmart and while i was at work a cart/car hot my car. I asked to see the video and they said I need a police report(that s Walmart for you, those jack***s ) these dents are in my rear driver side door on my 01 Kia Rio. The person left no note so what happens? What legal grounds do i have if i find the person?"	Maintenance & Repairs	1463468696000
YA:20160517000706AAePH4v	Is this SPARTAAAAAAAA?	is this SPARTAAAAAAAA?	History	1463468826000
YA:20160517000748AAyKHoU	Paraguard - Copper IUD Experiences?	"I ve had the copper IUD for around 5 months and I love it! For me, I ve always used ''lite'' tampons simply because it is more comfortable and I have a small vagina. When I got the IUD inserted it honestly was the worst pain I have experienced - I wanted to just tell them to stop (at the time I was 26 and I have had no prior pregnancies). I am so glad that I went through with it. I ve read about all the bad things that can happen with copper IUDs (i.e. terrible cramps, heavy periods). Myself, I have experienced slightly heavier periods however it is more that I spot a few days prior to bleeding. Nothing major it s just an annoyance. Also my periods last a day or two longer however they are still as light as they have been. Cramps are the worst part. I ve always had bad cramps and am prescribed vicodin in order to endure them. Sometimes between periods (usually during ovulation according to my phone app) cramps are unbearable. I ve always had terrible cramps though. They are even worse since getting the IUD however for me, it has been totally worth it. /n/nWhen I first got it I was cramping for a good while and bled for the two weeks prior to my period before things became ''normalized.'' Honestly there are parts about the copper IUD that I think suck (mainly the intense cramps between periods) but I will never suggest that anyone not do it. It is seriously amazing and for me, the cons are very, very slight when thinking of the benefits."	Women's Health	1463468868000
YA:20160517000906AApQSnN	Diet means by eating healthy and you can lose weight?		Diet & Fitness	1463468946000
YA:20160517000948AADxUSp	Car overheating at stops? Any clues?	"Recently bought a car and the check engine light was on  the code said it was the cooling temperature sensor, changed that and that's when my car started overheating..I changed the radiator cap and the fan.. Well after I changed the fan it stopped overheating for a full day I thought I fixed the problem, the next day it happened again! Now my car overheats when I'm at stop signs for long I have to turn it off and start it again.. It goes back down.. Sometimes it overheats as I drive but goes back down sometimes as other times I have to turn car off.. I'm confused? Help"	Maintenance & Repairs	1463468988000
YA:20160517001153AAmjKnt	I'm on steroids and of course my doctor disapproves and says if I must I should only do 1 ml a week but I do 3.Is this healthy?	Should I be drinking?I was told not to but I do anyway as I love beer and love the muscles and extra endurance for my job I'm getting from steroids.	Men's Health	1463469113000
YA:20160517001213AAvUYM2	"By means of fashion, what do you consider to be modest and immodest at the same time?"	male modesty/immodesty AND female modesty/immodesty	Fashion & Accessories	1463469133000
YA:20160517001533AAC8Kx7	I'm 12 years old and every time my penis erect it bends downwards?	"I'm 12 years old and evertime I erect my penis bends downwards. I dont feel pain when this happens so meaning its not the foreskin's fault right? I do alot of masturbating when i was 10 or 12, I know tit sounds silyl but could this be the reason why I have this? I searched about this in the internet and only adults experience it, so mine could be different right?Please answer."	Men's Health	1463469333000
YA:20160517001609AAi8AQS	How is Hemp oil helpful in daily life?		Diet & Fitness	1463469369000
YA:20160517001917AA2vZkm	I have savere tooth jaw and ear pain and i have tried everything nothing is working and i cant take this pain what do i do?		Dental	1463469557000
YA:20160517002043AAiBWbq	My left epididermis hurts abit?	I started to feel kind of needle touching my back of my testicles for 2 days. and my ejaculation/urination was fine and no signs.  any suggestion?	Men's Health	1463469643000
YA:20160517002143AAnQmzJ	Why is it that some HIV carriers don't tell other people that they're HIV positive?		STDs	1463469703000
